symbol,full_name,description,exchange,type,sector,logo_urls,exchange_logo,is_master
MHNL,MHNL,Mountain Hydro Nepal Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e409079c0631726220551.png,/storage/stock-full-names/alpha-stocks/66e409079c0631726220551.png,True
MICROFINANCE,MICROFINANCE,Microfinance,MICROFINANCE src:Nepsealpha.com,index,MICROFINANCE,/storage/,/storage/,False
MKCL,MKCL,Muktinath Krishi Company Limited,Others src:Nepsealpha.com,stock,OTHERS,/storage/stock-full-names/alpha-stocks/66e40914eeee51726220564.png,/storage/stock-full-names/alpha-stocks/66e40914eeee51726220564.png,True
MKHC,MKHC,Maya Khola Hydropower Company Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e4090c550261726220556.png,/storage/stock-full-names/alpha-stocks/66e4090c550261726220556.png,True
MKHL,MKHL,Mai Khola Hydropower Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e409028d5541726220546.png,/storage/stock-full-names/alpha-stocks/66e409028d5541726220546.png,True
MKJC,MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e40901247c31726220545.png,/storage/stock-full-names/alpha-stocks/66e40901247c31726220545.png,True
MKLB,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/March2022/mE6ClRtMsQETWWaaGV48.png,/storage/stock-full-names/March2022/mE6ClRtMsQETWWaaGV48.png,False
MLBBL,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e40918c30ec1726220568.png,/storage/stock-full-names/alpha-stocks/66e40918c30ec1726220568.png,True
MLBBLP,MLBBLP,Mithila LaghuBitta Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/J6tz6NN9oe3RFDQ2ekCS.png,/storage/stock-full-names/March2022/J6tz6NN9oe3RFDQ2ekCS.png,False
MLBD87,MLBD87,8.50% Machhapuchchhre Debenture 2087,Corporate Debenture src:Nepsealpha.com,stock,CORPDEBEN,/storage/stock-full-names/March2022/UlYY8qgsuRwXRyWDvrp8.png,/storage/stock-full-names/March2022/UlYY8qgsuRwXRyWDvrp8.png,False
MLBL,MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock,DEVBANK,/storage/stock-full-names/alpha-stocks/66e4090e289e41726220558.png,/storage/stock-full-names/alpha-stocks/66e4090e289e41726220558.png,True
MLBLPO,MLBLPO,Mahalxmi Bikas Bank Ltd. Promotor Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/bjkLjcrhadKGtbhTZL7U.jpg,/storage/stock-full-names/March2022/bjkLjcrhadKGtbhTZL7U.jpg,False
MLBS,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e409030da661726220547.png,/storage/stock-full-names/alpha-stocks/66e409030da661726220547.png,True
MLBSL,MLBSL,Mahila Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e40913749961726220563.png,/storage/stock-full-names/alpha-stocks/66e40913749961726220563.png,True
MMF1,MMF1,Mega Mutual Fund 1,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/alpha-stocks/66e409178f71a1726220567.png,/storage/stock-full-names/alpha-stocks/66e409178f71a1726220567.png,False
MMFDB,MMFDB,Mirmire Microfinance Development Bank Ltd.,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/March2022/2WG0lLI6wkq4nytTFGr5.jpg,/storage/stock-full-names/March2022/2WG0lLI6wkq4nytTFGr5.jpg,False
MMFDBP,MMFDBP,Mirmire Microfinance Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/F7rYRseVkDgWAsjHf60s.png,/storage/stock-full-names/March2022/F7rYRseVkDgWAsjHf60s.png,False
MMKJL,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/September2024/sERf7EM5NN8kNNuQrgiA.png,/storage/stock-full-names/September2024/sERf7EM5NN8kNNuQrgiA.png,True
MNBBL,MNBBL,Muktinath Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock,DEVBANK,/storage/stock-full-names/alpha-stocks/66e4090f8df881726220559.png,/storage/stock-full-names/alpha-stocks/66e4090f8df881726220559.png,True
MNBBLP,MNBBLP,Muktinath Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/JA8m6GydPYPW9dt4CriY.png,/storage/stock-full-names/March2022/JA8m6GydPYPW9dt4CriY.png,False
MNMF1,MNMF1,Muktinath Mutual Fund 1,Mutual Fund src:Nepsealpha.com,stock,MUTUAL,/storage/stock-full-names/November2024/kw8w3zZyzCvgt2mha1t3.jpg,/storage/stock-full-names/November2024/kw8w3zZyzCvgt2mha1t3.jpg,False
MPFL,MPFL,Multipurpose Finance Company Limited,Finance src:Nepsealpha.com,stock,FINANCE,/storage/stock-full-names/alpha-stocks/66e40906917b91726220550.png,/storage/stock-full-names/alpha-stocks/66e40906917b91726220550.png,True
MPFLPO,MPFLPO,Multipurpose Finance Company Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock,PROMOTSHARE,/storage/stock-full-names/March2022/FVxc6znFkQBxKA5MLp8q.jpg,/storage/stock-full-names/March2022/FVxc6znFkQBxKA5MLp8q.jpg,False
MSHL,MSHL,Mid Solu Hydropower Company Limited,Hydro Power src:Nepsealpha.com,stock,HYDROPOWER,/storage/stock-full-names/alpha-stocks/66e40909441de1726220553.png,/storage/stock-full-names/alpha-stocks/66e40909441de1726220553.png,True
MSLB,MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock,MICROFINANCE,/storage/stock-full-names/alpha-stocks/66e4090f34cbd1726220559.png,/storage/stock-full-names/alpha-stocks/66e4090f34cbd1726220559.png,True
